"english_name","arabic_name","iso3","iso2","phone_code","capital_english","capital_arabic","area_in_kilometer_square","currency","currency_name_en","currency_name_ar","currency_symbol","tld","region","subregion","timezones__zoneName","timezones__gmtOffset","timezones__gmtOffsetName","timezones__abbreviation","timezones__tzName","translations__kr","translations__br","translations__pt","translations__nl","translations__hr","translations__fa","translations__de","translations__es","translations__fr","translations__ja","translations__it","translations__cn","translations__tr","latitude","longitude","emoji","emojiU","governorates__id","governorates__name_en","governorates__name_ar","governorates__name_ar_tashkeel","governorates__phone_numbering_plan","governorates__capital_name_ar","governorates__capital_name_en","governorates__name_ar_normalized","governorates__name_en_normalized","governorates__districts__id","governorates__districts__name_en","governorates__districts__name_ar","governorates__districts__name_ar_tashkeel","governorates__districts__name_ar_normalized","governorates__districts__name_en_normalized"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Al-Madan","المدان","المَدَان","المدان","Al Madan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Sowair","صوير","صُوَيْر","صوير","Sowair"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Dholaimah Haboor","ظليمة حبور","ظُلَيْمَة حَبُوْر","ظليمه حبور","Dholaimah Haboor"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Al-Sawdah","السودة","السَّوْدَة","السوده","Al Sawdah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Khamer","خمر","خَمِر","خمر","Khamer"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Thibain","ذيبين","ذِيْبَيْن","ذيبين","Thibain"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Kharif","خارف","خَارِف","خارف","Kharif"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Raidah","ريدة","رَيْدَة","ريده","Raidah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Eyal Yazeed Mountain","جبل عيال يزيد","جَبَل عِيَال يَزِيْد","جبل عيال يزيد","Eyal Yazeed Mountain"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Al-Sawd","السود","السَّوْد","السود","Al Sawd"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Amran","عمران","عَمْرَان","عمران","Amran"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Maswar","مسور","مَسْوَر","مسور","Maswar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Thula","ثلا","ثُلَا","ثلا","Thula"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Eial Sraih","عيال سريح","عِيْال سُرَيْح","عيال سريح","Eial Sraih"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Bni Soraim","بني صريم","بَنِي صُرَيْم","بني صريم","Bni Soraim"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Hajjah","حجة","حَجَّة","07","مدينة حجة","Hajjah City","حجه","Hajjah","1","Bakel Al-Meer","بكيل المير","بَكِيْل المِيْر","بكيل المير","Bakel Al Meer"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Bni Al-Awam","بني العوام","بَنِي العَوّام","بني العوام","Bni Al Awam"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Aflah Al-Sham","أفلح الشام","أَفْلَح الشَّام","افلح الشام","Aflah Al Sham"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Aflah Al-Yemen","أفلح اليمن","أَفْلَح اليَمَن","افلح اليمن","Aflah Al Yemen"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Bni Qais Al-Tawr","بني قيس الطور","بَنِي قَيْس الطَُوْر","بني قيس الطور","Bni Qais Al Tawr"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Kohlan Al-Sharaf","كحلان الشرف","كُحْلَان الشَّرَف","كحلان الشرف","Kohlan Al Sharaf"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Qohlan Affar","كحلان عفار","كُحْلَان عَفَّار","كحلان عفار","Qohlan Affar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Khiran Al-Mahrraq","خيران المحرق","خَيْرَان المُحَرَّق","خيران المحرق","Khiran Al Mahrraq"
