"english_name","arabic_name","iso3","iso2","phone_code","capital_english","capital_arabic","area_in_kilometer_square","currency","currency_name_en","currency_name_ar","currency_symbol","tld","region","subregion","timezones__zoneName","timezones__gmtOffset","timezones__gmtOffsetName","timezones__abbreviation","timezones__tzName","translations__kr","translations__br","translations__pt","translations__nl","translations__hr","translations__fa","translations__de","translations__es","translations__fr","translations__ja","translations__it","translations__cn","translations__tr","latitude","longitude","emoji","emojiU","governorates__id","governorates__name_en","governorates__name_ar","governorates__name_ar_tashkeel","governorates__phone_numbering_plan","governorates__capital_name_ar","governorates__capital_name_en","governorates__name_ar_normalized","governorates__name_en_normalized","governorates__districts__id","governorates__districts__name_en","governorates__districts__name_ar","governorates__districts__name_ar_tashkeel","governorates__districts__name_ar_normalized","governorates__districts__name_en_normalized"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Fara' Al-Odain","فرع العدين","فَرْع العُدَيْن","فرع العدين","Fara Al Odain"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Al-Qafr","القفر","القَفْر","القفر","Al Qafr"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Al-Makhadrh","المخادر","المَخَادِر","المخادر","Al Makhadrh"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Mothaikhrah","مذيخرة","مُذَيْخِرَة","مذيخره","Mothaikhrah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Al-Mashnnah","المشنة","المَشَنَّة","المشنه","Al Mashnnah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Yareem","يريم","يَرِيْم","يريم","Yareem"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Sa'dah","صعدة","صَعْدَة","07","مدينة صعدة","Sa'dah City","صعده","Sadah","1","Al-Hishwah","الحشوة","الحِشْوَة","الحشوه","Al Hishwah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Al-Safra'a","الصفراء","الصَّفْرَاء","الصفراء","Al Safraa"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Al-Dhahir","الظاهر","الظَّاهِر","الظاهر","Al Dhahir"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Baqim","باقم","بَاقِم","باقم","Baqim"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Haidan","حيدان","حَيْدَان","حيدان","Haidan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Razih","رازح","رَازِح","رازح","Razih"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Saqain","ساقين","سَاقَيْن","ساقين","Saqain"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Sahar","سحار","سَحَار","سحار","Sahar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Shida'a","شداء","شِدَاء","شداء","Shidaa"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Sa'dah","صعدة","صَعْدَة","صعده","Sadah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Ghamer","غمر","غَمَر","غمر","Ghamer"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Qatabir","قطابر","قَطَابِر","قطابر","Qatabir"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Kitaf and Bog'","كتاف والبقع","كِتَاف وَالبُقْع","كتاف والبقع","Kitaf and Bog"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Majz","مجز","مَجْز","مجز","Majz"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Munabbih","منبه","مُنَبِّه","منبه","Munabbih"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Al-Baidha","البيضاء","البَيْضَاء","06","مدينة البيضاء","Al-Baidha City","البيضاء","Al Baidha","1","Al-Baidha City","مدينة البيضاء","مَدِينَة البَيْضَاء","مدينه البيضاء","Al Baidha City"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Al-Baidha","البيضاء","البَيْضَاء","البيضاء","Al Baidha"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Al-Zaher","الزاهر","الزَّاهِر","الزاهر","Al Zaher"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Radman","ردمان","رَدْمَان","ردمان","Radman"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Al-Riashiah","الرياشية","الرِّيَاشِيَّة","الرياشيه","Al Riashiah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Al-Swadiah","السوادية","السُّوَادِيَّة","السواديه","Al Swadiah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Al-Shariah","الشرية","الشَرِيَّة","الشريه","Al Shariah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Sabah","صباح","صَبَاح","صباح","Sabah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Al-Sawma'ah","الصومعة","الصَّوْمَعَة","الصومعه","Al Sawmaah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Al-Tiffah","الطفة","الطَّفَّة","الطفه","Al Tiffah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Al-Arsh","العرش","العَرْش","العرش","Al Arsh"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Al-Qurishiah","القريشية","القُرَيْشِيَّة","القريشيه","Al Qurishiah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Thi Na'em","ذي ناعم","ذِي نَاعِم","ذي ناعم","Thi Naem"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Maswarah","مسورة","مَسْوَرَة","مسوره","Maswarah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Mukiras","مكيراس","مُكَيْرَاس","مكيراس","Mukiras"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Al-Malajim","الملاجم","المَلَاجِم","الملاجم","Al Malajim"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Nati'","ناطع","نَاطِع","ناطع","Nati"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Na'man","نعمان","نَعْمَان","نعمان","Naman"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Wild Rabee'","ولد ربيع","وِلْد رَبِيْع","ولد ربيع","Wild Rabee"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Rada'","رداع","رَدَاع","رداع","Rada"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Shabwah","شبوة","شَبْوَة","05","عتق","Ataq","شبوه","Shabwah","1","Al-Rawdhah","الروضة","الرَّوْضَة","الروضه","Al Rawdhah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Bayhan","بيحان","بَيْحَان","بيحان","Bayhan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Jardan","جردان","جَرْدَان","جردان","Jardan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Habban","حبان","حَبَّان","حبان","Habban"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Ain","عين","عَيْن","عين","Ain"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Hotaib","حطيب","حُطَيْب","حطيب","Hotaib"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Duhur","دهر","دُهُر","دهر","Duhur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Rudhoom","رضوم","رُضُوْم","رضوم","Rudhoom"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Al-Sa'eed","الصعيد","الصَّعِيْد","الصعيد","Al Saeed"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Al-Talh","الطلح","الطَّلْح","الطلح","Al Talh"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Ataq","عتق","عَتَق","عتق","Ataq"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Arma'","عرماء","عَرْمَاء","عرماء","Arma"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Osailan","عسيلان","عُسَيْلَان","عسيلان","Osailan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Markhah Al-Sofla","مرخة السفلى","مَرْخَة السُّفْلَى","مرخه السفلا","Markhah Al Sofla"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Markhah Al-Olia","مرخة العليا","مَرْخَة العُلْيَا","مرخه العليا","Markhah Al Olia"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Maifa'h","ميفعة","مَيْفَعَة","ميفعه","Maifah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Nesab","نصاب","نِصَاب","نصاب","Nesab"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Taiz","تعز","تَعِز","04","مدينة تعز","Taiz City","تعز","Taiz","1","Mawiah","ماوية","مَاوِيَة","ماويه","Mawiah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Shara'b Al-Salam","شرعب السلام","شَرْعَب السَّلَام","شرعب السلام","Sharab Al Salam"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Shara'b Al-Rawnah","شرعب الرونة","شَرْعَب الرَّوْنَة","شرعب الرونه","Sharab Al Rawnah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Maqbana","مقبنة","مَقْبَنَة","مقبنه","Maqbana"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Al-Makha","المخا","المَخَا","المخا","Al Makha"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Thubab","ذباب","ذُبَاب","ذباب","Thubab"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Mawza'","موزع","مَوْزَع","موزع","Mawza"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Habashi Mountain","جبل حبشي","جَبَل حَبَشِي","جبل حبشي","Habashi Mountain"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Mashra'a and Hadnan","مشرعة وحدنان","مَشْرَعَة وَحَدْنَان","مشرعه وحدنان","Mashraa and Hadnan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Saber Al-Mawadim","صبر الموادم","صَبِر المَوَادِم","صبر الموادم","Saber Al Mawadim"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Al-Misrakh","المسراخ","المِسْرَاخ","المسراخ","Al Misrakh"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Khadeer","خدير","خَدِيْر","خدير","Khadeer"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Al-Selw","الصلو","الصِّلْو","الصلو","Al Selw"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Al-Shamaiatain","الشمايتين","الشَّمَايَتَيْن","الشمايتين","Al Shamaiatain"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Al-Waz'iah","الوازعية","الوَازِعِيَّة","الوازعيه","Al Waziah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Haifan","حيفان","حَيْفَان","حيفان","Haifan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Al-Mathfar","المظفر","المَظْفَر","المظفر","Al Mathfar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Al-Qahera","القاهرة","القَاهِرَة","القاهره","Al Qahera"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Salah","صالة","صَالَة","صاله","Salah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Al-Taiziah","التعزية","التَّعِزِّيَة","التعزيه","Al Taiziah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","Al-Ma'afer","المعافر","المَعَافِر","المعافر","Al Maafer"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","Al-Mawasit","المواسط","المَوَاسِط","المواسط","Al Mawasit"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","Sama'","سامع","سَامِع","سامع","Sama"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Al-jawf","الجوف","الجَوْف","06","الحزم","Al-Hazm","الجوف","Al jawf","1","Barat Al-enan","برط العنان","بَرَطَ العِنَان","برط العنان","Barat Al enan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Al-Hazm","الحزم","الحَزْم","الحزم","Al Hazm"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Al-Humaidat","الحميدات","الحُمَيْدَات","الحميدات","Al Humaidat"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Khab and Al-Sha’af","خب والشعف","خَب وَالشَعَف","خب والشعف","Khab and Al Sha’af"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Kharab Al-Marashi","خراب المراشي","خَرَاب المَرَاشِي","خراب المراشي","Kharab Al Marashi"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Al-Khalq","الخلق","الخَلَق","الخلق","Al Khalq"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Rajozah","رجوزة","رَجُوْزَة","رجوزه","Rajozah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Al-Zaher","الزاهر","الزَّاهِر","الزاهر","Al Zaher"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Al-Ghail","الغيل","الغَيْل","الغيل","Al Ghail"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Al-Mutoon","المتون","المُتُوْن","المتون","Al Mutoon"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Al-Masloob","المصلوب","المَصْلُوْب","المصلوب","Al Masloob"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Al-Matmmah","المطمة","المَطَمّة","المطمه","Al Matmmah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Ma'rib","مأرب","مَأْرِب","06","مدينة مأرب","Ma'rib City","مارب","Marib","1","Bedbedah","بدبدة","بِدْبِدَة","بدبده","Bedbedah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Morad Mountain","جبل مراد","جَبَل مُرَاد","جبل مراد","Morad Mountain"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Madghal Al-Gida'an","مدغل الجدعان","مَدْغَل الجِدْعَان","مدغل الجدعان","Madghal Al Gidaan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Ma'rib City","مدينة مأرب","مَدِينَة مَأْرِب","مدينه مارب","Marib City"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Hareeb","حريب","حَرِيْب","حريب","Hareeb"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Hareeb Al-Qaramish","حريب القرامش","حَرِيْب القَرَامِش","حريب القرامش","Hareeb Al Qaramish"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Rahabah","رحبة","رَحَبَة","رحبه","Rahabah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Raghwan","رغوان","رَغْوَان","رغوان","Raghwan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Sirwah","صرواح","صِرْوَاح","صرواح","Sirwah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Al-Abdiah","العبدية","العَبْدِيَّة","العبديه","Al Abdiah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Mahliah","ماهلية","ماهِلِيَّة","ماهليه","Mahliah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Al-Jobah","الجوبة","الجُوْبَة","الجوبه","Al Jobah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Majzar","مجزر","مَجْزَر","مجزر","Majzar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Al-Mokalla City","مدينة المكلا","مَدِيْنَة المُكَلَّا","مدينه المكلا","Al Mokalla City"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Hadramot","حضرموت","حَضْرَمَوْت","05","المكلا","Al-Mokalla","حضرموت","Hadramot","1","Al-Mokalla","المكلا","المُكَلَّا","المكلا","Al Mokalla"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Thamood","ثمود","ثَمُوْد","ثمود","Thamood"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Al-Qaf","القف","القَف","القف","Al Qaf"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Zamakh and Manookh","زمخ ومنوخ","زَمَخ وَمُنُوْخ","زمخ ومنوخ","Zamakh and Manookh"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Hajr","حجر","حَجْر","حجر","Hajr"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Al-Abr","العبر","العَبْر","العبر","Al Abr"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Al-Qatn","القطن","القَطَن","القطن","Al Qatn"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Shibam","شبام","شِبَام","شبام","Shibam"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Sah","ساه","سَاه","ساه","Sah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","Say'on","سيئون","سَيْئُون","سيءون","Sayon"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","Tarim","تريم","تَرِيْم","تريم","Tarim"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","Al-Soom","السوم","السُّوْم","السوم","Al Soom"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","Al-Raidah and Qusaier","الريدة وقصيعر","الرَّيْدَة وَقُصَيْعَِر","الريده وقصيعر","Al Raidah and Qusaier"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","Al-Dais","الديس","الدِّيْس","الديس","Al Dais"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","Al-Shihr","الشحر","الشِّحْر","الشحر","Al Shihr"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Ghail Bin Yameen","غيل بن يمين","غَيْل بِْن يَمِيْن","غيل بن يمين","Ghail Bin Yameen"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Ghail Ba Wazeer","غيل باوزير","غَيْل بَاوَزِيْر","غيل باوزير","Ghail Ba Wazeer"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Dawa'an","دوعن","دَوْعَن","دوعن","Dawaan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","Amd","عمد","عَمْد","عمد","Amd"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","Al-Ayn Valley","حورة ووادي العين","حُوْرَة وَوَادِي العَيْن","حوره ووادي العين","Al Ayn Valley"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","Raikhyah","رخية","رَخْيَة","رخيه","Raikhyah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","Yabo'th","يبعث","يَبْعُث","يبعث","Yaboth"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","Hajar Al-Saia'ar","حجر الصيعر","حَجْر الصَّيْعَر","حجر الصيعر","Hajar Al Saiaar"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","Barom Maifa'a","بروم ميفع","بُرُوم مَيْفَع","بروم ميفع","Barom Maifaa"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","Al-Dhlia'ah","الضليعة","الضِّلِيْعَة","الضليعه","Al Dhliaah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","Rumah","رماه","رُمَاه","رماه","Rumah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","Huridhah","حريضة","حُرَيْضَة","حريضه","Huridhah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","Al-Maharah","المهرة","المَهَرَة","05","الغيضة","Al-Ghaidhah","المهره","Al Maharah","1","Haat","حات","حَات","حات","Haat"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Hsween","حصوين","حَصْوِيْن","حصوين","Hsween"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Hawf","حوف","حَوْف","حوف","Hawf"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Syhoot","سيحوت","سَيْحُوْت","سيحوت","Syhoot"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Shihin","شحن","شِحِْن","شحن","Shihin"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Al-Ghaidhah","الغيضة","الغَيْضَة","الغيضه","Al Ghaidhah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Qashn","قشن","قِشْن","قشن","Qashn"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Al-Masilah","المسيلة","المَسِيْلَة","المسيله","Al Masilah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Man'r","منعر","مَنْعَر","منعر","Manr"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","Al-Dhale'","الضالع","الضَّالِع","02","مدينة الضالع","Al-Dhale' City","الضالع","Al Dhale","1","Al-Azariq","الأزارق","الأَزَارِق","الازارق","Al Azariq"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Al-Hasha'","الحشاء","الحَشَاء","الحشاء","Al Hasha"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","Al-Hosain","الحصين","الحُصَيْن","الحصين","Al Hosain"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","Al-Sho'aib","الشعيب","الشُّعَيْب","الشعيب","Al Shoaib"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","Al-Dhale'","الضالع","الضَّالِع","الضالع","Al Dhale"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","Joban","جبن","جُبَن","جبن","Joban"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","Jehaf","جحاف","جِحَاف","جحاف","Jehaf"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","Damt","دمت","دَمْت","دمت","Damt"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","Qa'tabah","قعطبة","قَعْطَبَة","قعطبه","Qatabah"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","Al-Mahweet","المحويت","المَحْوِيْت","07","مدينة المحويت","Al-Mahweet City","المحويت","Al Mahweet","1","Melhan","ملحان","مَلْحَان","ملحان","Melhan"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","Al-Khabt","الخبت","الخَبْت","الخبت","Al Khabt"
